year	1961
imdb score	8.2
meta score	N/A
genre	Drama
keyword	nun
keyword	vow
keyword	mother superior
keyword	guilt
keyword	novice
keyword	piety
keyword	crutch
keyword	looking through a keyhole
keyword	hunger
keyword	holy water
keyword	corruption
keyword	convent
keyword	cousin cousin relationship
keyword	passion
keyword	fetish
keyword	kiss
keyword	protectress
keyword	suffering
keyword	beggar
keyword	cynicism
keyword	suspected rape
keyword	consecration
keyword	painter
keyword	kindness
keyword	pregnancy
keyword	nihilism
keyword	trust
keyword	da vinci last supper
keyword	photograph
keyword	disgust
keyword	crying baby
keyword	love
keyword	cattle
keyword	tablecloth
keyword	flute
keyword	crucifix
keyword	horse and carriage
keyword	fight
keyword	wine
keyword	sleepwalker
keyword	watching
keyword	attempted rape
keyword	virgin mary
keyword	dropping food
keyword	controversy
keyword	drinking
keyword	somnambulism
keyword	ashes
keyword	priest
keyword	drugged coffee
keyword	organ
keyword	suitcase
keyword	dinner
keyword	reference to jesus christ
keyword	sand
keyword	punishment
keyword	dancing
keyword	bus
keyword	ingratitude
keyword	uncle niece relationship
keyword	undressing
keyword	nail
keyword	soldier
keyword	wedding veil
keyword	food thrown into someone's face
keyword	boyfriend girlfriend relationship
keyword	faith
keyword	servant
keyword	packing a suitcase
keyword	ridicule
keyword	last supper
keyword	hate
keyword	mirror
keyword	pipe smoking
keyword	destruction
keyword	lamb
keyword	humility
keyword	writing
keyword	soaking arm
keyword	painting
keyword	sewing
keyword	intercourse
keyword	record player
keyword	children
keyword	asthma
keyword	cake
keyword	mother son relationship
keyword	architect
keyword	sleeping on the floor
keyword	coffee
keyword	confession
keyword	squash
keyword	fight between women
keyword	electric shock
keyword	religious woman
keyword	liar
keyword	roast
keyword	portrait painting
keyword	dog
keyword	attic
keyword	horse
keyword	climbing a tree
keyword	electricity
keyword	jumprope
keyword	respect
keyword	leper
keyword	knife
keyword	gratitude
keyword	gardener
keyword	soporific
keyword	scrubbing floor
keyword	baking
keyword	nightgown
keyword	spider
keyword	tied up
keyword	construction worker
keyword	orchard
keyword	maid
keyword	country estate
keyword	varicose veins
keyword	clock
keyword	falling asleep
keyword	headache
keyword	agriculture
keyword	marriage proposal
keyword	soaking feet
keyword	deafness
keyword	rat
keyword	dwarf
keyword	penitence
keyword	hacienda
