year	2004
imdb score	5.9
meta score	37
genre	Crime
genre	Thriller
keyword	fbi
keyword	fbi agent
keyword	serial killer
keyword	salesman
keyword	murder
keyword	partner
keyword	investigation
keyword	remote viewing
keyword	farmhouse
keyword	bible
keyword	justice
keyword	tape recorder
keyword	highway patrol
keyword	dallas texas
keyword	hanging out washing
keyword	doll
keyword	nudity
keyword	wallpaper
keyword	door lock
keyword	coffee
keyword	kidnapping
keyword	playing pool
keyword	traffic jam
keyword	parapsychology
keyword	song
keyword	mirror
keyword	death
keyword	blood
keyword	nonlocality
keyword	dream
keyword	computer
keyword	new mexico
keyword	trucker
keyword	eye
keyword	rain
keyword	violence
keyword	teenage girl
keyword	carnival
keyword	upside down
keyword	handcuffs
keyword	film projector
keyword	photograph
keyword	truck driver
keyword	rubber gloves
keyword	fight
keyword	flashlight
keyword	breaking and entering
keyword	intuitiveness
keyword	running
keyword	flashback
keyword	evidence
keyword	bare breasts
keyword	bestiality
keyword	toilet
keyword	drinking
keyword	criminologist
keyword	infrared vision
keyword	playground
keyword	abduction
keyword	vomit
keyword	pow wow
keyword	teacher
keyword	police
keyword	subjective camera
keyword	truck
keyword	female nudity
keyword	professor
keyword	choir
keyword	kicking
keyword	truck crash
keyword	fax machine
keyword	breaking lock
keyword	dog
keyword	pursuit
keyword	cell phone
keyword	bound and gagged
keyword	car crash
keyword	diner
keyword	tucumcari new mexico
keyword	truck stop
keyword	basketball
keyword	psychic power
keyword	freezer burn
keyword	newspaper clipping
keyword	african american
keyword	attic
keyword	gun
keyword	band
keyword	cologne
keyword	restaurant supplier
keyword	book
keyword	policeman
keyword	eyelids
keyword	chase
keyword	bartender
keyword	extrasensory perception
keyword	camera
keyword	following
keyword	footprint
keyword	zero
keyword	watching movie
keyword	dog tag
keyword	ravine
keyword	missing child
keyword	religious art
keyword	native american
keyword	burn scar
keyword	rape
keyword	candle
keyword	crying
keyword	barbed wire
keyword	box office flop
keyword	tent
keyword	shark
keyword	photographer
keyword	hymn
keyword	water
keyword	curse
keyword	donkey
keyword	map
keyword	newspaper
keyword	marching band
keyword	psychic
keyword	restaurant
keyword	beating
keyword	gunfire
keyword	sketch
keyword	knife
keyword	letter
keyword	strangulation
keyword	albuquerque new mexico
keyword	drawing
keyword	nightmare
keyword	five senses
keyword	quantico virginia
keyword	cryptic drawing
keyword	headache
keyword	tow truck
keyword	telepathy
keyword	semi truck
keyword	supernatural power
keyword	singer
keyword	child murder
keyword	pta
keyword	555 phone number
keyword	swing
keyword	church
keyword	mask
keyword	missing person
keyword	singing
keyword	aspirin
keyword	body part
keyword	mesa
keyword	brain
keyword	visionary
keyword	tears
keyword	clairvoyance
keyword	dead body
keyword	halfway house
keyword	icarus
keyword	bar
keyword	number in title
keyword	title spoken by character
keyword	
cast	Aaron Eckhart	Thomas Mackelway
cast	Ben Kingsley	Benjamin O'Ryan
cast	Carrie-Anne Moss	Fran Kulok
cast	Harry Lennix	Rich Charleton
cast	Kevin Chamberlin	Harold Speck
cast	Julian Reyes	Highway Patrolman
cast	Keith Campbell	Raymond Starkey
cast	Chloe Russell	Loretta
cast	Ellen Blake	Dolly
cast	William B. Johnson	Mel
cast	Jerry Gardner	Sheriff Harry Dylan
cast	Daniel Patrick Moriarty	Bud Granger
cast	Curtis Plagge	Jumbo
cast	Nicole DeHuff	Katie Potter
cast	William Mapother	Bill Grieves
cast	Donn Owens	FBI Agent
cast	Brady Coleman	Dyson
cast	Frank Collison	Piper
cast	Catherine Haun	Joan Speck
cast	Lea Franklin	Mother
cast	Angelina Torres	Neighbor Lady
cast	David Ode	Bartender
cast	David House	Truth or Consequences Cop
cast	Miguel Zapata	Charlie
cast	Jane E. Goold	Kathleen
cast	Boots Southerland	Vic
cast	Benjamin Petry	Little Boy
cast	Jenny Cleveland	Little Boy's Mother
cast	Buddy Joe Hooker	Suspect Zero
cast	Kent Kirkpatrick	Cora
cast	Dorsey Ray	Project Director
cast	Michael Chapman	Prosecutor #1
cast	Marya Beauvais	Prosecutor #2
cast	Letta E. Gorder	Reporter
cast	Ed Dames	Icarus Trainer
cast	Aaron Donahue	Remote Viewer
cast	Kevin Skousen	Icarus Agent
cast	Cecilia L. Webb	Gospel Singer #1
cast	Hope Bell	Gospel Singer #2
cast	Richard Barela	Bar Patron
cast	Xanndra Boehler	State Trooper
cast	Jamie Haqqani	FBI Agent
cast	Elizabeth Latham	Vendor
cast	Daniel Smith	State Trooper
cast	Robert Towne	Professor Dates
