year	1985
imdb score	8.0
meta score	88
genre	Drama
genre	Fantasy
genre	Sci-Fi
keyword	bureaucracy
keyword	terrorist
keyword	dream
keyword	arrest
keyword	technology
keyword	bureaucrat
keyword	future
keyword	report
keyword	office
keyword	civil servant
keyword	retro future
keyword	repairman
keyword	escape
keyword	spiral staircase
keyword	terrorism
keyword	murder
keyword	bandage
keyword	cult film
keyword	fainting
keyword	goldfish
keyword	stuck in an elevator
keyword	character repeating someone else's dialogue
keyword	stripped car
keyword	christmas
keyword	mask
keyword	surrealism
keyword	shootout
keyword	nightmare
keyword	restaurant
keyword	no opening credits
keyword	absurdism
keyword	person on fire
keyword	plastic surgeon
keyword	mother son relationship
keyword	looking at one's self in a mirror
keyword	tuxedo
keyword	malfunction
keyword	rescue
keyword	truck driver
keyword	drawing
keyword	flying
keyword	held at gunpoint
keyword	machine gun
keyword	guerilla
keyword	hole in the ceiling
keyword	santa costume
keyword	ambiguous ending
keyword	pneumatic tube
keyword	tv set
keyword	liberty
keyword	thrown from a car
keyword	dark comedy
keyword	magnifying glass
keyword	boyfriend girlfriend relationship
keyword	bare chested male
keyword	husband wife relationship
keyword	christmas gift
keyword	steampunk
keyword	funeral
keyword	plastic surgery
keyword	air conditioner
keyword	insect
keyword	suspicion
keyword	totalitarian
keyword	father daughter relationship
keyword	satire
keyword	swat team
keyword	dystopia
keyword	french accent
keyword	chase
keyword	pistol
keyword	science runs amok
keyword	car chase
keyword	hit with a wrench
keyword	shot in the chest
keyword	ministry
keyword	techne
keyword	jumping onto a moving truck
keyword	bandaged face
keyword	doctor
keyword	box office flop
keyword	sabotage
keyword	car crash
keyword	explosion
keyword	wings
keyword	totalitarianism
keyword	machine
keyword	shot in the forehead
keyword	menu
keyword	fake ears
keyword	mistaken identity
keyword	skeleton
keyword	elevator
keyword	refund
keyword	kafka esque
keyword	title appears in song
keyword	duct
keyword	whistle
keyword	bathtub
keyword	tragic event
keyword	london england
keyword	tv
keyword	man wearing a wig
keyword	coffin
keyword	tied to a chair
keyword	hallucination
keyword	job promotion
keyword	black comedy
keyword	headphones
keyword	salt
keyword	finger gun
keyword	spoof
keyword	exploding building
keyword	receipt
keyword	cage
keyword	broken mirror
keyword	year 1984
keyword	information
keyword	reference to icarus
keyword	trust
keyword	rube goldberg machine
keyword	torture
keyword	impalement
keyword	character's point of view camera shot
keyword	cigarette smoking
keyword	ambiguous title
keyword	repeated line
keyword	black humor
keyword	dream girl
keyword	schizophrenic
keyword	stabbed in the chest
keyword	samurai warrior
keyword	death of husband
keyword	surveillance
keyword	assassin
keyword	subjective camera
keyword	mental breakdown
keyword	apartment building
keyword	widow
keyword	best friend
keyword	triplet
keyword	government corruption
keyword	spear
keyword	check
keyword	wheelchair
keyword	shot to death
keyword	country name in title
keyword	shoe as hat
keyword	stabbed in the arm
keyword	daydream
keyword	shotgun
keyword	territory name in title
keyword	waiter
keyword	pepper
keyword	strait jacket
keyword	parcel
keyword	masked man
keyword	employer employee relationship
keyword	breakfast machine
keyword	icicle
keyword	department store
keyword	stabbed in the foot
keyword	typewriter
keyword	bomb
keyword	singing telegram
keyword	dictatorship
keyword	midget
keyword	blood
keyword	party
keyword	red tape
keyword	title based on song
keyword	i.d.
keyword	neo noir
keyword	premarital sex
keyword	paranoia
keyword	mirror
keyword	future shock
keyword	truck
keyword	walking into a wall
keyword	multiple outcomes
keyword	fight the system
keyword	one word title
keyword	corpse
keyword	alternative reality
keyword	kicked in the stomach
keyword	freedom
keyword	bomb in public place
keyword	interrogation
keyword	recurring dream
keyword	oneiric
keyword	blood on camera lens
keyword	computer
keyword	exploding car
keyword	alienation
keyword	car accident
keyword	sword
keyword	smoking a cigarette in a bathtub
keyword	lobotomy
keyword	character says i love you
keyword	surprise ending
cast	Jonathan Pryce	Sam Lowry
cast	Robert De Niro	Harry Tuttle
cast	Katherine Helmond	Mrs. Ida Lowry
cast	Ian Holm	Mr. Kurtzmann
cast	Bob Hoskins	Spoor
cast	Michael Palin	Jack Lint
cast	Ian Richardson	Mr. Warrenn
cast	Peter Vaughan	Mr. Helpmann
cast	Kim Greist	Jill Layton
cast	Jim Broadbent	Dr. Jaffe
cast	Barbara Hicks	Mrs. Terrain
cast	Charles McKeown	Lime
cast	Derrick O'Connor	Dowser
cast	Kathryn Pogson	Shirley
cast	Bryan Pringle	Spiro
cast	Sheila Reid	Mrs. Buttle
cast	John Flanagan	T.V. Interviewer / Salesman
cast	Ray Cooper	Technician
cast	Brian Miller	Mr. Buttle
cast	Simon Nash	Boy Buttle
cast	Prudence Oliver	Girl Buttle
cast	Simon Jones	Arrest Official
cast	Derek Deadman	Bill--Dept. of Works
cast	Nigel Planer	Charlie--Dept. of Works
cast	Terence Bayler	T.V Commercial Presente
cast	Gorden Kaye	M.O.I. Lobby Porter
cast	Tony Portacio	Neighbour in Clark's Pool
cast	Bill Wallis	Bespectacled lurker
cast	Winston Dennis	Samurai Warrior
cast	Jack Purvis	Dr. Chapman
cast	Elizabeth Spender	Alison / 'Barbara' Lint
cast	Antony Brown	Porter - Information Retrieval
cast	Myrtle Devenish	Typist in Jack's Office
cast	Holly Gilliam	Holly
cast	John Pierce Jones	Basement Guard
cast	Ann Way	Old Lady with Dog
cast	Don Henderson	First Black Maria Guard
cast	Howard Lew Lewis	Second Black Maria Guard
cast	Oscar Quitak	Interview Official
cast	Harold Innocent	Interview Official
cast	John Grillo	Interview Official
cast	Ralph Nossek	Interview Official
cast	David Gant	Interview Official
cast	James Coyle	Interview Official
cast	Patrick Connor	Cell Guard
cast	Roger Ashton-Griffiths	Priest
cast	Russell Keith Grant	Young Gallant at Funeral
cast	Sue Hodge	Forces of Darkness
cast	Sadie Corre	Midget Woman
cast	Margarita Doyle	Answering Machine Voice
cast	Dominic Ffytche	Office Boy
cast	Terry Forrestal	Running Trooper
